year,roll_name,total,passed,efficiency
2025,RE+1_R2_CH01_A,19771,19569,98.978302
2025,RE+1_R2_CH01_B,18919,18377,97.135155
2025,RE+1_R2_CH01_C,42796,26482,61.879615
2025,RE+1_R2_CH02_A,20203,19679,97.406326
2025,RE+1_R2_CH02_B,19202,18968,98.781377
2025,RE+1_R2_CH02_C,43140,42503,98.523412
2025,RE+1_R2_CH03_A,19779,19403,98.098994
2025,RE+1_R2_CH03_B,18892,18493,97.887995
2025,RE+1_R2_CH03_C,42973,42256,98.331510
2025,RE+1_R2_CH04_A,19691,19482,98.938601
2025,RE+1_R2_CH04_B,19101,18374,96.193917
2025,RE+1_R2_CH04_C,43257,42773,98.881106
2025,RE+1_R2_CH05_A,19458,18859,96.921575
2025,RE+1_R2_CH05_B,18326,17758,96.900578
2025,RE+1_R2_CH05_C,41719,39798,95.395383
2025,RE+1_R2_CH06_A,18818,18053,95.934743
2025,RE+1_R2_CH06_B,18267,15520,84.961953
2025,RE+1_R2_CH06_C,42063,40418,96.089200
2025,RE+1_R2_CH07_A,18644,17926,96.148895
2025,RE+1_R2_CH07_B,18065,17322,95.887074
2025,RE+1_R2_CH07_C,40701,38617,94.879733
2025,RE+1_R2_CH08_A,19637,18901,96.251973
2025,RE+1_R2_CH08_B,18653,17796,95.405565
2025,RE+1_R2_CH08_C,41145,39229,95.343298
2025,RE+1_R2_CH09_A,19864,19730,99.325413
2025,RE+1_R2_CH09_B,18452,18006,97.582918
2025,RE+1_R2_CH09_C,41165,40099,97.410421
2025,RE+1_R2_CH10_A,19892,19463,97.843354
2025,RE+1_R2_CH10_B,18606,18127,97.425562
2025,RE+1_R2_CH10_C,40715,40249,98.855459
2025,RE+1_R2_CH11_A,19715,13419,68.064925
2025,RE+1_R2_CH11_B,18713,10969,58.617004
2025,RE+1_R2_CH11_C,41807,26685,63.829024
2025,RE+1_R2_CH12_A,19859,19677,99.083539
2025,RE+1_R2_CH12_B,18809,18365,97.639428
2025,RE+1_R2_CH12_C,43183,42524,98.473937
2025,RE+1_R2_CH13_A,20038,18853,94.086236
2025,RE+1_R2_CH13_B,19068,17798,93.339627
2025,RE+1_R2_CH13_C,42862,40238,93.878027
2025,RE+1_R2_CH14_A,20579,15489,75.266048
2025,RE+1_R2_CH14_B,19810,17683,89.262998
2025,RE+1_R2_CH14_C,43699,39634,90.697728
2025,RE+1_R2_CH15_A,20928,20775,99.268922
2025,RE+1_R2_CH15_B,19760,19580,99.089069
2025,RE+1_R2_CH15_C,44558,43555,97.749001
2025,RE+1_R2_CH16_A,20601,19241,93.398379
2025,RE+1_R2_CH16_B,19269,17106,88.774716
2025,RE+1_R2_CH16_C,43370,41820,96.426101
2025,RE+1_R2_CH17_A,20056,17019,84.857399
2025,RE+1_R2_CH17_B,18622,18316,98.356782
2025,RE+1_R2_CH17_C,42755,37510,87.732429
2025,RE+1_R2_CH18_A,19779,19508,98.629860
2025,RE+1_R2_CH18_B,18719,18205,97.254127
2025,RE+1_R2_CH18_C,41054,40141,97.776100
2025,RE+1_R2_CH19_A,20393,20071,98.421027
2025,RE+1_R2_CH19_B,19275,18897,98.038911
2025,RE+1_R2_CH19_C,42640,40893,95.902908
2025,RE+1_R2_CH20_A,20543,19998,97.347028
2025,RE+1_R2_CH20_B,19705,18888,95.853844
2025,RE+1_R2_CH20_C,43107,42310,98.151112
2025,RE+1_R2_CH21_A,24380,22357,91.702215
2025,RE+1_R2_CH21_B,23010,22445,97.544546
2025,RE+1_R2_CH21_C,50043,44539,89.001459
2025,RE+1_R2_CH22_A,20557,20241,98.462811
2025,RE+1_R2_CH22_B,19550,18614,95.212276
2025,RE+1_R2_CH22_C,43026,40681,94.549807
2025,RE+1_R2_CH23_A,19688,17889,90.862454
2025,RE+1_R2_CH23_B,18687,18093,96.821320
2025,RE+1_R2_CH23_C,42044,39259,93.375987
2025,RE+1_R2_CH24_A,19602,19330,98.612386
2025,RE+1_R2_CH24_B,18826,18649,99.059811
2025,RE+1_R2_CH24_C,41590,40307,96.915124
2025,RE+1_R2_CH25_A,19736,10138,51.368058
2025,RE+1_R2_CH25_B,18322,17720,96.714332
2025,RE+1_R2_CH25_C,41894,41460,98.964052
2025,RE+1_R2_CH26_A,19133,18920,98.886740
2025,RE+1_R2_CH26_B,18416,18004,97.762815
2025,RE+1_R2_CH26_C,41824,41505,99.237280
2025,RE+1_R2_CH27_A,19134,18691,97.684750
2025,RE+1_R2_CH27_B,18159,17646,97.174955
2025,RE+1_R2_CH27_C,41093,40266,97.987492
2025,RE+1_R2_CH28_A,17320,16725,96.564665
2025,RE+1_R2_CH28_B,16410,16252,99.037172
2025,RE+1_R2_CH28_C,37351,36768,98.439131
2025,RE+1_R2_CH29_A,16415,11345,69.113616
2025,RE+1_R2_CH29_B,16550,16260,98.247734
2025,RE+1_R2_CH29_C,40312,39402,97.742608
2025,RE+1_R2_CH30_A,18083,17744,98.125311
2025,RE+1_R2_CH30_B,17462,17126,98.075822
2025,RE+1_R2_CH30_C,40512,39552,97.630332
2025,RE+1_R2_CH31_A,17949,17807,99.208870
2025,RE+1_R2_CH31_B,17611,17247,97.933110
2025,RE+1_R2_CH31_C,41717,41176,98.703167
2025,RE+1_R2_CH32_A,17652,17030,96.476320
2025,RE+1_R2_CH32_B,17529,16879,96.291859
2025,RE+1_R2_CH32_C,39724,37712,94.935052
2025,RE+1_R2_CH33_A,18345,17953,97.863178
2025,RE+1_R2_CH33_B,17365,16930,97.494961
2025,RE+1_R2_CH33_C,40067,39019,97.384381
2025,RE+1_R2_CH34_A,19047,18823,98.823962
2025,RE+1_R2_CH34_B,17714,17496,98.769335
2025,RE+1_R2_CH34_C,39976,38893,97.290875
2025,RE+1_R2_CH35_A,0,0,
2025,RE+1_R2_CH35_B,0,0,
2025,RE+1_R2_CH35_C,0,0,
2025,RE+1_R2_CH36_A,18412,15575,84.591571
2025,RE+1_R2_CH36_B,17203,16272,94.588153
2025,RE+1_R2_CH36_C,39726,37850,95.277652
2025,RE+1_R3_CH01_A,9234,8940,96.816114
2025,RE+1_R3_CH01_B,25017,24409,97.569653
2025,RE+1_R3_CH01_C,18974,18589,97.970908
2025,RE+1_R3_CH02_A,9989,9601,96.115727
2025,RE+1_R3_CH02_B,25958,25099,96.690808
2025,RE+1_R3_CH02_C,18799,18251,97.084951
2025,RE+1_R3_CH03_A,9951,9772,98.201186
2025,RE+1_R3_CH03_B,25489,24892,97.657813
2025,RE+1_R3_CH03_C,19077,18489,96.917754
2025,RE+1_R3_CH04_A,9282,5066,54.578755
2025,RE+1_R3_CH04_B,25079,13687,54.575541
2025,RE+1_R3_CH04_C,18742,7363,39.286095
2025,RE+1_R3_CH05_A,9815,9702,98.848701
2025,RE+1_R3_CH05_B,25634,25308,98.728252
2025,RE+1_R3_CH05_C,19082,18676,97.872340
2025,RE+1_R3_CH06_A,9510,9298,97.770768
2025,RE+1_R3_CH06_B,25237,24649,97.670088
2025,RE+1_R3_CH06_C,20041,19256,96.083030
2025,RE+1_R3_CH07_A,9146,8982,98.206866
2025,RE+1_R3_CH07_B,24525,23588,96.179409
2025,RE+1_R3_CH07_C,18161,17587,96.839381
2025,RE+1_R3_CH08_A,9866,9709,98.408676
2025,RE+1_R3_CH08_B,25797,25449,98.651006
2025,RE+1_R3_CH08_C,18686,17751,94.996254
2025,RE+1_R3_CH09_A,9668,9428,97.517584
2025,RE+1_R3_CH09_B,25805,25485,98.759930
2025,RE+1_R3_CH09_C,19468,19108,98.150812
2025,RE+1_R3_CH10_A,9606,9368,97.522382
2025,RE+1_R3_CH10_B,25251,23725,93.956675
2025,RE+1_R3_CH10_C,18944,17600,92.905405
2025,RE+1_R3_CH11_A,9917,9732,98.134516
2025,RE+1_R3_CH11_B,25933,25507,98.357305
2025,RE+1_R3_CH11_C,18902,18496,97.852079
2025,RE+1_R3_CH12_A,10103,9875,97.743245
2025,RE+1_R3_CH12_B,25870,25052,96.838036
2025,RE+1_R3_CH12_C,20965,18748,89.425233
2025,RE+1_R3_CH13_A,10006,9770,97.641415
2025,RE+1_R3_CH13_B,26278,25443,96.822437
2025,RE+1_R3_CH13_C,19770,19028,96.246839
2025,RE+1_R3_CH14_A,12480,11940,95.673077
2025,RE+1_R3_CH14_B,28776,27856,96.802891
2025,RE+1_R3_CH14_C,20939,19742,94.283395
2025,RE+1_R3_CH15_A,0,0,
2025,RE+1_R3_CH15_B,0,0,
2025,RE+1_R3_CH15_C,0,0,
2025,RE+1_R3_CH16_A,9596,9394,97.894956
2025,RE+1_R3_CH16_B,25591,25187,98.421320
2025,RE+1_R3_CH16_C,19148,18764,97.994569
2025,RE+1_R3_CH17_A,9879,9648,97.661707
2025,RE+1_R3_CH17_B,26478,25575,96.589622
2025,RE+1_R3_CH17_C,18451,17815,96.553032
2025,RE+1_R3_CH18_A,9851,9648,97.939296
2025,RE+1_R3_CH18_B,25904,20632,79.647931
2025,RE+1_R3_CH18_C,20524,19869,96.808614
2025,RE+1_R3_CH19_A,9598,9242,96.290894
2025,RE+1_R3_CH19_B,25415,24396,95.990557
2025,RE+1_R3_CH19_C,19574,18604,95.044447
2025,RE+1_R3_CH20_A,10047,9831,97.850105
2025,RE+1_R3_CH20_B,26240,25726,98.041159
2025,RE+1_R3_CH20_C,19448,18981,97.598725
2025,RE+1_R3_CH21_A,10147,9794,96.521139
